Past,EVT,ACRES
Past  Conifer,Agricultural,3789
Past  Conifer,Conifer,244758
Past  Conifer,Conifer-Hardwood,0
Past  Conifer,Developed,38103
Past  Conifer,Exotics,3801
Past  Conifer,Grassland,18350
Past  Conifer,Hardwood,9
Past  Conifer,Riparian,5119
Past  Conifer,Shrubland,206311
Past  Grassland,Agricultural,22238
Past  Grassland,Conifer,38365
Past  Grassland,Developed,15335
Past  Grassland,Exotics,9307
Past  Grassland,Grassland,47662
Past  Grassland,Hardwood,2
Past  Grassland,Riparian,2833
Past  Grassland,Shrubland,349009
Past  Hardwood,Agricultural,1020
Past  Hardwood,Conifer,1342
Past  Hardwood,Developed,106
Past  Hardwood,Exotics,363
Past  Hardwood,Grassland,447
Past  Hardwood,Hardwood,8
Past  Hardwood,Riparian,2422
Past  Hardwood,Shrubland,1513
Past  Hardwood-Conifer,Agricultural,290
Past  Hardwood-Conifer,Conifer,4249
Past  Hardwood-Conifer,Conifer-Hardwood,0
Past  Hardwood-Conifer,Developed,90
Past  Hardwood-Conifer,Exotics,243
Past  Hardwood-Conifer,Grassland,357
Past  Hardwood-Conifer,Hardwood,9
Past  Hardwood-Conifer,Riparian,761
Past  Hardwood-Conifer,Shrubland,1394
Past  Riparian,Agricultural,234134
Past  Riparian,Conifer,31029
Past  Riparian,Developed,33790
Past  Riparian,Exotics,8551
Past  Riparian,Grassland,5037
Past  Riparian,Hardwood,1
Past  Riparian,Riparian,78624
Past  Riparian,Shrubland,33893
Past  Shrubland,Agricultural,368463
Past  Shrubland,Conifer,132221
Past  Shrubland,Developed,84925
Past  Shrubland,Exotics,51771
Past  Shrubland,Grassland,165640
Past  Shrubland,Hardwood,1
Past  Shrubland,Riparian,63470
Past  Shrubland,Shrubland,1428822
